id,sentiment,positive,negative,neutral
1,Positive,1,0,0
2,Positive,1,0,0
3,Positive,1,0,0
4,Positive,1,0,2
5,Positive,1,0,0
6,Neutral,0,0,2
7,Positive,1,0,1
8,Neutral,0,0,1
9,Positive,1,0,1
10,Mixed,1,2,0
11,Negative,0,1,0
12,Positive,1,0,1
13,Positive,1,0,1
14,Neutral,0,0,2
15,Positive,2,0,0
16,Positive,2,0,0
17,Positive,2,0,0
18,Neutral,0,0,1
19,Negative,0,1,0
20,Neutral,0,0,1
21,Mixed,2,1,0
22,Neutral,0,0,1
23,Positive,1,0,0
24,Mixed,2,1,0
25,Positive,1,0,0
26,Positive,2,0,0
27,Neutral,0,0,1
28,Neutral,0,0,1
29,Positive,1,0,0
30,Neutral,0,0,2
31,Positive,1,0,0
32,Positive,1,0,0
33,Negative,0,1,0
34,Positive,1,0,1
35,Positive,1,0,0
36,Neutral,0,0,1
37,Positive,4,0,0
38,Positive,1,0,1
39,Positive,1,0,0
40,Positive,1,0,0
41,Positive,1,0,1
42,Positive,1,0,0
43,Negative,0,1,1
44,Neutral,0,0,1
45,Neutral,0,0,1
46,Positive,1,0,1
47,Positive,1,0,1
48,Positive,1,0,0
49,Positive,2,0,0
50,Positive,1,0,0
51,Neutral,0,0,4
52,Positive,1,0,1
53,Positive,1,0,0
54,Neutral,0,0,1
55,Positive,1,0,0
56,Positive,1,0,0
57,Mixed,1,1,2
58,Neutral,0,0,1
59,Neutral,0,0,2
60,Neutral,0,0,2
61,Neutral,0,0,1
62,Positive,1,0,0
63,Positive,1,0,0
64,Positive,4,0,1
65,Positive,1,0,1
66,Positive,1,0,0
67,Positive,1,0,2
68,Negative,0,1,1
69,Positive,1,0,0
70,Neutral,0,0,2
71,Positive,2,0,0
72,Neutral,0,0,1
73,Neutral,0,0,1
74,Neutral,0,0,1
75,Neutral,0,0,1
76,Neutral,0,0,1
77,Mixed,1,1,1
78,Negative,0,1,1
79,Positive,1,0,1
80,Positive,2,0,0
81,Positive,1,0,1
82,Positive,1,0,0
83,Positive,1,0,0
84,Neutral,0,0,1
85,Positive,2,0,0
86,Negative,0,1,0
87,Negative,0,1,2
88,Positive,3,0,0
89,Neutral,0,0,2
90,Positive,1,0,0
91,Positive,1,0,0
92,Neutral,0,0,1
93,Neutral,0,0,1
94,Mixed,1,1,0
95,Neutral,0,0,1
96,Negative,0,1,0
97,Neutral,0,0,1
98,Positive,2,0,0
99,Positive,1,0,1
100,Positive,1,0,1
101,Positive,1,0,0
102,Negative,0,1,0
103,Positive,1,0,0
104,Neutral,0,0,1
105,Mixed,1,1,1
106,Positive,1,0,0
107,Neutral,0,0,1
108,Positive,1,0,0
109,Positive,2,0,1
110,Positive,1,0,2
111,Positive,1,0,0
112,Positive,1,0,1
113,Positive,2,0,0
114,Neutral,0,0,1
115,Positive,2,0,0
116,Neutral,0,0,1
117,Positive,1,0,0
118,Positive,1,0,1
119,Neutral,0,0,1
120,Mixed,1,1,0
121,Positive,1,0,1
122,Positive,1,0,1
123,Negative,0,1,0
124,Positive,1,0,0
125,Neutral,0,0,2
126,Negative,0,1,0
127,Neutral,0,0,1
128,Positive,1,0,0
129,Positive,1,0,1
130,Positive,1,0,0
131,Mixed,3,1,0
132,Neutral,0,0,1
133,Positive,1,0,0
134,Neutral,0,0,1
135,Neutral,0,0,1
136,Neutral,0,0,1
137,Positive,1,0,2
138,Positive,1,0,0
139,Positive,1,0,0
140,Positive,1,0,1
141,Neutral,0,0,1
142,Positive,1,0,0
143,Neutral,0,0,1
144,Negative,0,1,0
145,Positive,1,0,0
146,Mixed,1,1,0
147,Positive,1,0,0
148,Neutral,0,0,1
149,Mixed,1,1,1
150,Positive,1,0,2
151,Positive,2,0,2
152,Positive,2,0,2
153,Negative,0,1,3
154,Mixed,1,1,0
155,Positive,1,0,1
156,Positive,2,0,2
157,Positive,1,0,0
158,Positive,1,0,0
159,Negative,0,1,1
160,Positive,1,0,2
161,Positive,1,0,1
162,Positive,2,0,0
163,Positive,2,0,0
164,Neutral,0,0,1
165,Positive,1,0,1
166,Positive,1,0,1
167,Neutral,0,0,1
168,Mixed,1,1,0
169,Neutral,0,0,1
170,Neutral,0,0,1
171,Positive,2,0,0
172,Neutral,0,0,1
173,Positive,1,0,0
174,Positive,1,0,0
175,Positive,1,0,0
176,Positive,1,0,0
177,Negative,0,1,1
178,Positive,1,0,0
179,Neutral,0,0,1
180,Negative,0,1,0
181,Positive,1,0,1
182,Positive,1,0,0
183,Neutral,0,0,1
184,Positive,2,0,0
185,Positive,1,0,1
186,Positive,1,0,0
187,Positive,1,0,0
188,Positive,1,0,0
189,Neutral,0,0,2
190,Positive,1,0,0
191,Positive,1,0,0
192,Negative,0,1,0
193,Neutral,0,0,2
194,Positive,1,0,0
195,Positive,1,0,2
196,Neutral,0,0,1
197,Negative,0,1,1
198,Neutral,0,0,2
199,Positive,1,0,0
200,Positive,1,0,1
201,Positive,1,0,2
202,Neutral,0,0,2
203,Positive,1,0,0
204,Neutral,0,0,18
205,Positive,1,0,1
206,Positive,1,0,0
207,Positive,1,0,0
208,Neutral,0,0,1
209,Positive,1,0,0
210,Positive,1,0,1
211,Positive,1,0,1
212,Positive,1,0,1
213,Neutral,0,0,1
214,Neutral,0,0,1
215,Positive,2,0,0
216,Positive,1,0,0
217,Positive,1,0,0
218,Negative,0,1,0
219,Neutral,0,0,2
220,Neutral,0,0,1
221,Negative,0,1,0
222,Neutral,0,0,1
223,Positive,1,0,1
224,Neutral,0,0,1
225,Neutral,0,0,1
226,Negative,0,1,0
227,Neutral,0,0,2
228,Neutral,0,0,1
229,Positive,1,0,0
230,Negative,0,1,0
231,Negative,0,1,0
232,Neutral,0,0,1
233,Positive,1,0,0
234,Neutral,0,0,1
235,Positive,2,0,2
236,Positive,1,0,0
237,Positive,2,0,1
238,Negative,0,1,2
239,Positive,1,0,3
240,Neutral,0,0,2
241,Neutral,0,0,2
242,Negative,0,1,0
243,Neutral,0,0,1
244,Positive,1,0,0
245,Negative,0,1,0
246,Positive,1,0,0
247,Mixed,2,1,0
248,Negative,0,1,1
249,Positive,2,0,0
250,Positive,1,0,0
251,Neutral,0,0,1
252,Neutral,0,0,1
253,Positive,1,0,1
254,Positive,1,0,0
255,Neutral,0,0,2
256,Positive,1,0,0
257,Neutral,0,0,5
258,Positive,1,0,2
259,Positive,2,0,0
260,Positive,3,0,1
261,Positive,2,0,0
262,Positive,1,0,1
263,Neutral,0,0,2
264,Positive,1,0,0
265,Positive,1,0,0
266,Positive,1,0,1
267,Positive,1,0,0
268,Positive,2,0,0
269,Neutral,0,0,1
270,Neutral,0,0,3
271,Positive,1,0,0
272,Positive,1,0,0
273,Positive,1,0,0
274,Positive,2,0,2
275,Neutral,0,0,1
276,Positive,2,0,0
277,Positive,1,0,0
278,Positive,1,0,2
279,Neutral,0,0,1
280,Positive,1,0,2
281,Positive,1,0,0
282,Positive,2,0,0
283,Mixed,1,1,0
284,Negative,0,1,4
285,Positive,1,0,1
286,Positive,2,0,1
287,Neutral,0,0,1
288,Positive,1,0,0
289,Neutral,0,0,1
290,Positive,1,0,0
291,Positive,1,0,0
292,Neutral,0,0,1
293,Positive,1,0,0
294,Negative,0,1,0
295,Negative,0,2,0
296,Positive,1,0,2
297,Mixed,1,1,1
298,Positive,1,0,0
299,Positive,1,0,0
300,Neutral,0,0,1
301,Positive,1,0,0
302,Positive,1,0,0
303,Mixed,1,1,0
304,Neutral,0,0,1
305,Positive,1,0,0
306,Neutral,0,0,1
307,Negative,0,1,1
308,Positive,2,0,0
309,Positive,2,0,1
310,Positive,1,0,0
311,Negative,0,1,0
312,Negative,0,1,2
313,Positive,1,0,2
314,Neutral,0,0,1
315,Mixed,1,1,1
316,Positive,2,0,1
317,Positive,1,0,2
318,Positive,1,0,0
319,Positive,2,0,3
320,Positive,1,0,0
321,Mixed,1,1,0
322,Positive,1,0,0
323,Positive,1,0,2
324,Neutral,0,0,1
325,Positive,1,0,0
326,Positive,1,0,1
327,Negative,0,1,1
328,Positive,1,0,0
329,Negative,0,2,0
330,Positive,2,0,1
331,Positive,1,0,1
332,Positive,1,0,0
333,Neutral,0,0,1
334,Positive,1,0,0
335,Neutral,0,0,2
336,Positive,2,0,1
337,Positive,1,0,0
338,Neutral,0,0,2
339,Neutral,0,0,1
340,Positive,1,0,1
341,Positive,1,0,0
342,Neutral,0,0,3
343,Positive,1,0,1
344,Mixed,1,1,0
345,Neutral,0,0,1
346,Negative,0,1,1
347,Positive,1,0,1
348,Positive,2,0,0
349,Neutral,0,0,2
350,Positive,1,0,1
351,Positive,1,0,1
352,Positive,1,0,0
353,Neutral,0,0,1
354,Positive,1,0,0
355,Positive,1,0,1
356,Positive,1,0,1
357,Positive,1,0,1
358,Positive,1,0,1
359,Neutral,0,0,2
360,Negative,0,1,0
361,Negative,0,1,0
362,Neutral,0,0,1
363,Positive,1,0,0
364,Neutral,0,0,1
365,Positive,2,0,0
366,Positive,1,0,1
367,Negative,0,1,0
368,Positive,1,0,0
369,Negative,0,1,1
370,Positive,4,0,0
371,Negative,0,1,0
372,Mixed,2,1,0
373,Neutral,0,0,1
374,Neutral,0,0,1
375,Neutral,0,0,1
376,Positive,2,0,0
377,Negative,0,2,0
378,Positive,1,0,1
379,Positive,1,0,1
380,Neutral,0,0,1
381,Neutral,0,0,1
382,Positive,1,0,1
383,Positive,1,0,1
384,Neutral,0,0,3
385,Mixed,1,1,1
386,Negative,0,1,0
387,Negative,0,1,2
388,Positive,2,0,0
389,Positive,2,0,0
390,Neutral,0,0,2
391,Mixed,1,3,1
392,Neutral,0,0,1
393,Neutral,0,0,2
394,Positive,1,0,0
395,Neutral,0,0,1
396,Negative,0,1,2
397,Positive,1,0,1
398,Positive,1,0,0
399,Positive,1,0,0
400,Positive,1,0,0
401,Neutral,0,0,1
402,Neutral,0,0,1
403,Positive,1,0,0
404,Positive,1,0,2
405,Neutral,0,0,3
406,Positive,2,0,0
407,Neutral,0,0,2
408,Negative,0,1,0
409,Neutral,0,0,1
410,Neutral,0,0,1
411,Negative,0,1,0
412,Neutral,0,0,1
413,Positive,1,0,1
414,Positive,1,0,1
415,Positive,1,0,0
416,Positive,1,0,1
417,Neutral,0,0,2
418,Positive,1,0,0
419,Positive,1,0,0
420,Negative,0,1,2
421,Negative,0,1,0
422,Negative,0,2,0
423,Neutral,0,0,1
424,Positive,2,0,0
425,Positive,1,0,2
426,Positive,1,0,1
427,Positive,2,0,0
428,Positive,1,0,1
429,Negative,0,2,0
430,Positive,1,0,1
431,Positive,2,0,0
432,Neutral,0,0,2
433,Positive,1,0,0
434,Neutral,0,0,1
435,Positive,1,0,0
436,Positive,1,0,0
437,Neutral,0,0,2
438,Positive,1,0,0
439,Positive,2,0,0
440,Neutral,0,0,1
441,Positive,1,0,1
442,Positive,1,0,0
443,Positive,1,0,0
444,Positive,1,0,1
445,Positive,1,0,0
446,Positive,2,0,1
447,Neutral,0,0,1
448,Positive,2,0,1
449,Positive,3,0,0
450,Neutral,0,0,1
451,Positive,1,0,0
452,Neutral,0,0,1
453,Positive,2,0,1
454,Positive,2,0,0
455,Positive,1,0,0
456,Positive,1,0,2
457,Neutral,0,0,1
458,Negative,0,1,1
459,Negative,0,2,0
460,Positive,1,0,0
461,Positive,2,0,0
462,Neutral,0,0,2
463,Neutral,0,0,2
464,Negative,0,1,0
465,Positive,1,0,1
466,Mixed,1,1,0
467,Neutral,0,0,1
468,Neutral,0,0,1
469,Positive,1,0,1
470,Neutral,0,0,1
471,Neutral,0,0,1
472,Neutral,0,0,1
473,Neutral,0,0,1
474,Positive,1,0,0
475,Positive,1,0,0
476,Positive,1,0,1
477,Positive,2,0,3
478,Positive,2,0,0
479,Negative,0,1,2
480,Positive,2,0,0
481,Neutral,0,0,3
482,Negative,0,1,0
483,Positive,1,0,0
484,Positive,1,0,0
485,Negative,0,1,0
486,Positive,1,0,0
487,Mixed,1,1,0
488,Negative,0,1,0
489,Negative,0,2,1
490,Negative,0,1,0
491,Positive,1,0,1
492,Positive,1,0,1
493,Neutral,0,0,1
494,Positive,1,0,0
495,Positive,1,0,1
496,Positive,2,0,0
497,Positive,1,0,0
498,Neutral,0,0,1
499,Positive,1,0,0
500,Positive,1,0,0
501,Neutral,0,0,2
502,Neutral,0,0,1
503,Mixed,1,1,1
504,Positive,1,0,0
505,Positive,1,0,1
506,Positive,1,0,0
507,Neutral,0,0,1
508,Negative,0,1,1
509,Neutral,0,0,1
510,Positive,1,0,1
511,Positive,1,0,0
512,Neutral,0,0,1
513,Positive,1,0,0
514,Positive,1,0,1
515,Negative,0,1,0
516,Positive,1,0,0
517,Negative,0,1,0
518,Positive,1,0,0
519,Mixed,1,1,0
520,Positive,1,0,1
521,Positive,1,0,2
522,Negative,0,1,0
523,Positive,1,0,0
524,Positive,1,0,0
525,Positive,1,0,2
526,Positive,1,0,1
527,Positive,1,0,1
528,Positive,2,0,0
529,Positive,1,0,0
530,Positive,1,0,1
531,Positive,1,0,0
532,Neutral,0,0,2
533,Positive,1,0,0
534,Positive,2,0,0
535,Positive,2,0,0
536,Positive,1,0,0
537,Positive,1,0,2
538,Neutral,0,0,2
539,Negative,0,1,0
540,Negative,0,1,0
541,Negative,0,1,1
542,Negative,0,1,0
543,Positive,1,0,0
544,Neutral,0,0,1
545,Neutral,0,0,1
546,Neutral,0,0,1
547,Neutral,0,0,1
548,Positive,1,0,2
549,Positive,1,0,0
550,Positive,1,0,0
551,Positive,1,0,0
552,Positive,1,0,0
553,Neutral,0,0,1
554,Positive,1,0,0
555,Mixed,1,1,0
556,Positive,1,0,1
557,Neutral,0,0,2
558,Mixed,2,1,0
559,Positive,2,0,1
560,Positive,1,0,1
561,Positive,1,0,0
562,Mixed,1,1,3
563,Positive,3,0,0
564,Positive,1,0,0
565,Positive,1,0,2
566,Positive,1,0,0
567,Neutral,0,0,1
568,Positive,2,0,1
569,Positive,1,0,0
570,Negative,0,1,1
571,Neutral,0,0,3
572,Positive,2,0,1
573,Positive,2,0,0
574,Neutral,0,0,1
575,Neutral,0,0,1
576,Neutral,0,0,1
577,Mixed,1,1,1
578,Positive,1,0,0
579,Positive,1,0,0
580,Positive,2,0,0
581,Negative,0,1,1
582,Neutral,0,0,1
583,Neutral,0,0,3
584,Neutral,0,0,1
585,Positive,1,0,0
586,Positive,1,0,0
587,Positive,2,0,0
588,Negative,0,1,0
589,Mixed,1,1,1
590,Negative,0,1,0
591,Neutral,0,0,1
592,Negative,0,1,1
593,Neutral,0,0,1
594,Positive,1,0,0
595,Positive,1,0,0
596,Positive,2,0,1
597,Positive,1,0,1
598,Positive,1,0,1
599,Negative,0,1,1
600,Neutral,0,0,1
601,Positive,2,0,0
602,Neutral,0,0,1
603,Positive,1,0,0
604,Positive,2,0,0
605,Negative,0,2,1
606,Neutral,0,0,1
607,Negative,0,1,1
608,Neutral,0,0,1
609,Negative,0,1,1
610,Positive,1,0,0
611,Positive,1,0,0
612,Neutral,0,0,2
613,Negative,0,1,1
614,Positive,2,0,0
615,Positive,1,0,2
616,Negative,0,1,0
617,Positive,1,0,0
618,Positive,2,0,0
619,Positive,1,0,2
620,Positive,1,0,0
621,Neutral,0,0,2
622,Neutral,0,0,2
623,Neutral,0,0,1
624,Positive,4,0,2
625,Positive,1,0,0
626,Positive,1,0,0
627,Positive,1,0,1
628,Neutral,0,0,1
629,Positive,1,0,0
630,Neutral,0,0,1
631,Positive,2,0,0
632,Negative,0,1,0
633,Neutral,0,0,1
634,Positive,1,0,0
635,Positive,2,0,0
636,Positive,1,0,0
637,Positive,1,0,1
638,Positive,1,0,1
639,Negative,0,1,0
640,Neutral,0,0,1
641,Positive,1,0,0
642,Positive,1,0,0
643,Neutral,0,0,1
644,Positive,1,0,0
645,Positive,1,0,0
646,Positive,1,0,1
647,Neutral,0,0,1
648,Positive,2,0,0
649,Neutral,0,0,1
650,Positive,1,0,2
651,Positive,1,0,2
652,Positive,1,0,1
653,Positive,1,0,2
654,Neutral,0,0,1
655,Positive,1,0,0
656,Neutral,0,0,2
657,Positive,2,0,0
658,Positive,1,0,1
659,Positive,1,0,0
660,Positive,1,0,0
661,Negative,0,1,0
662,Positive,1,0,1
663,Positive,1,0,0
664,Neutral,0,0,1
665,Positive,1,0,0
666,Neutral,0,0,1
667,Neutral,0,0,1
668,Negative,0,1,0
669,Positive,1,0,1
670,Positive,1,0,0
671,Positive,1,0,3
672,Positive,1,0,0
673,Positive,1,0,2
674,Neutral,0,0,3
675,Positive,2,0,0
676,Positive,3,0,0
677,Neutral,0,0,1
678,Negative,0,1,0
679,Neutral,0,0,2
680,Positive,1,0,1
681,Neutral,0,0,1
682,Mixed,1,1,0
683,Neutral,0,0,1
684,Positive,1,0,2
685,Positive,1,0,0
686,Neutral,0,0,1
687,Positive,1,0,0
688,Positive,1,0,0
689,Positive,2,0,2
690,Positive,1,0,1
691,Positive,1,0,0
692,Neutral,0,0,1
693,Positive,1,0,0
694,Negative,0,1,0
695,Positive,1,0,0
696,Negative,0,1,1
697,Positive,3,0,1
698,Neutral,0,0,2
699,Positive,2,0,0
700,Negative,0,2,0
701,Neutral,0,0,1
702,Negative,0,1,0
703,Positive,1,0,0
704,Positive,1,0,2
705,Positive,1,0,0
706,Mixed,1,1,1
707,Positive,1,0,0
708,Positive,2,0,0
709,Positive,1,0,1
710,Negative,0,2,1
711,Neutral,0,0,1
712,Positive,1,0,0
713,Negative,0,1,0
714,Neutral,0,0,1
715,Positive,1,0,2
716,Positive,2,0,2
717,Neutral,0,0,1
718,Positive,1,0,1
719,Neutral,0,0,2
720,Negative,0,1,0
721,Positive,1,0,1
722,Mixed,1,1,1
723,Positive,1,0,1
724,Positive,1,0,0
725,Neutral,0,0,1
726,Positive,1,0,1
727,Positive,1,0,1
728,Neutral,0,0,1
729,Negative,0,1,1
730,Positive,1,0,1
731,Neutral,0,0,2
732,Positive,1,0,0
733,Positive,1,0,0
734,Positive,1,0,1
735,Positive,1,0,0
736,Positive,1,0,0
737,Positive,3,0,2
738,Neutral,0,0,1
739,Neutral,0,0,2
740,Positive,2,0,0
741,Negative,0,1,0
742,Positive,1,0,0
743,Negative,0,1,1
744,Positive,3,0,0
745,Neutral,0,0,1
746,Mixed,1,1,1
747,Positive,1,0,1
748,Positive,2,0,2
749,Positive,2,0,0
750,Positive,1,0,1
751,Positive,3,0,0
752,Positive,1,0,0
753,Neutral,0,0,1
754,Neutral,0,0,1
755,Positive,1,0,0
756,Neutral,0,0,3
757,Mixed,1,1,0
758,Positive,2,0,2
759,Positive,1,0,3
760,Positive,1,0,0
761,Neutral,0,0,1
762,Neutral,0,0,3
763,Positive,1,0,0
764,Positive,1,0,0
765,Neutral,0,0,1
766,Positive,3,0,1
767,Negative,0,1,0
768,Positive,1,0,0
769,Positive,2,0,0
770,Positive,1,0,0
771,Positive,1,0,0
772,Neutral,0,0,1
773,Negative,0,2,0
774,Positive,1,0,0
775,Positive,1,0,0
776,Positive,1,0,0
777,Negative,0,1,0
778,Positive,1,0,2
779,Neutral,0,0,3
780,Positive,1,0,0
781,Neutral,0,0,1
782,Positive,1,0,0
783,Neutral,0,0,2
784,Positive,1,0,0
785,Neutral,0,0,2
786,Negative,0,1,1
787,Neutral,0,0,1
788,Positive,1,0,0
789,Neutral,0,0,1
790,Neutral,0,0,1
791,Positive,1,0,1
792,Positive,1,0,0
793,Negative,0,1,2
794,Positive,2,0,0
795,Negative,0,1,0
796,Positive,1,0,1
797,Neutral,0,0,2
798,Negative,0,2,2
799,Positive,1,0,0
800,Neutral,0,0,1
801,Positive,3,0,1
802,Positive,1,0,0
803,Negative,0,1,0
804,Negative,0,1,1
805,Mixed,1,1,2
806,Negative,0,2,1
807,Neutral,0,0,2
808,Neutral,0,0,1
809,Negative,0,1,0
810,Neutral,0,0,2
811,Positive,1,0,0
812,Negative,0,2,0
813,Negative,0,1,0
814,Negative,0,1,0
